--技能的相关文字,这里命名规范一下
--S1L1name其中s1表示是技能1,L1表示是等级1,Name表示是名字,Desc表示说明,其他...
Skill=
{
s0Name="Thử nghiệm",	s0Desc="Thử nghiệm",
s11Name="Bạo Liệt Hỏa Diễm",	s11Desc="<(c0xFF00FFFF)Cấp 22 có thể học, sách kỹ năng có thể nhận qua nhiệm vụ chính tuyến hoặc mua ở hiệu sách.>",
s12Name="Hỏa Tường Phần Thiêu",	s12Desc="<(c0xFF00FFFF)Cấp 24 có thể học, sách kỹ năng có thể nhận qua nhiệm vụ chính tuyến hoặc mua ở hiệu sách.>",
s13Name="Hủy Diệt Lôi Quang",	s13Desc="<(c0xFF00FFFF)Cấp 26 có thể học, sách kỹ năng có thể nhận khi tiêu diệt quái vật cấp 25-34 hoặc mua ở hiệu sách.><(c0xFF00FF00)Người dùng VIP Chí Tôn có thể kích hoạt kỹ năng miễn phí.>",
s14Name="Tấn Ảnh Lôi Quang",	s14Desc="<(c0xFF00FFFF)Cấp 30 có thể học, sách kỹ năng có thể nhận khi tiêu diệt quái vật cấp 25-34 hoặc mua ở hiệu sách.><(c0xFF00FF00)Người dùng VIP Chí Tôn có thể kích hoạt kỹ năng miễn phí.>",
s15Name="Năng Lượng Hộ Thuẫn",	s15Desc="<(c0xFF00FFFF)Cấp 31 có thể học, sách kỹ năng có thể nhận khi tiêu diệt quái vật cấp 25-34 hoặc mua ở hiệu sách.><(c0xFF00FF00)Người dùng VIP Chí Tôn có thể kích hoạt kỹ năng miễn phí.>",
s16Name="Băng Tiêm Trụ",	s16Desc="<(c0xFF00FFFF)Cấp 35 có thể học, sách kỹ năng có thể nhận khi tiêu diệt quái vật cấp 25-34 hoặc mua ở hiệu sách.><(c0xFF00FF00)Người dùng VIP Chí Tôn có thể kích hoạt kỹ năng miễn phí.>",
s17Name="Trị Dũ Thuật",	s17Desc="<(c0xFF00FFFF)Cấp 14 có thể học, sách kỹ năng có thể nhận qua nhiệm vụ chính tuyến hoặc mua ở hiệu sách.>",
s18Name="Niệm Lực Chiến Pháp",	s18Desc="<(c0xFF00FFFF)Cấp 9 có thể học, sách kỹ năng có thể nhận qua nhiệm vụ chính tuyến hoặc mua ở hiệu sách.>",
s19Name="Chúc Cốt Thi Độc",	s19Desc="<(c0xFF00FFFF)Cấp 7 có thể học, sách kỹ năng có thể nhận qua nhiệm vụ chính tuyến hoặc mua ở hiệu sách.>",
s20Name="Linh Hồn Hỏa Chú",	s20Desc="<(c0xFF00FFFF)Cấp 18 có thể học, sách kỹ năng có thể nhận qua nhiệm vụ chính tuyến hoặc mua ở hiệu sách.>",
s21Name="Khô Lâu Phục Tô",	s21Desc="<(c0xFF00FFFF)Cấp 19 có thể học, sách kỹ năng có thể nhận qua nhiệm vụ chính tuyến hoặc mua ở hiệu sách.>",
s22Name="Ẩn Nặc Thuật",	s22Desc="<(c0xFF00FFFF)Cấp 20 có thể học, sách kỹ năng có thể nhận qua nhiệm vụ chính tuyến hoặc mua ở hiệu sách.>",
s23Name="Quần Thể Ẩn Nặc Thuật",	s23Desc="<(c0xFF00FFFF)Cấp 21 có thể học, sách kỹ năng có thể nhận qua nhiệm vụ chính tuyến hoặc mua ở hiệu sách.>",
s24Name="Thánh Linh Hộ Thân Thuật",	s24Desc="<(c0xFF00FFFF)Cấp 22 có thể học, sách kỹ năng có thể nhận qua nhiệm vụ chính tuyến hoặc mua ở hiệu sách.>",
s25Name="Luyện Khí Chiến Giáp Thuật",	s25Desc="<(c0xFF00FFFF)Cấp 26 có thể học, sách kỹ năng có thể nhận khi tiêu diệt quái vật cấp 25-34 hoặc mua ở hiệu sách.><(c0xFF00FF00)Người dùng VIP Chí Tôn có thể kích hoạt kỹ năng miễn phí.>",
s26Name="Quần Thể Trị Dũ Thuật",	s26Desc="<(c0xFF00FFFF)Cấp 33 có thể học, sách kỹ năng có thể nhận khi tiêu diệt quái vật cấp 25-34 hoặc mua ở hiệu sách.><(c0xFF00FF00)Người dùng VIP Chí Tôn có thể kích hoạt kỹ năng miễn phí.>",
s27Name="Triệu Hồi Ma Sứ",	s27Desc="<(c0xFF00FFFF)Cấp 35 có thể học, sách kỹ năng có thể nhận khi tiêu diệt quái vật cấp 25-34 hoặc mua ở hiệu sách.><(c0xFF00FF00)Người dùng VIP Chí Tôn có thể kích hoạt kỹ năng miễn phí.>",
s28Name="Khô Lâu Tấn Công",	s28Desc="Kỹ năng thú cưng chém thường vật lý 100%",
s29Name="Cấu hình phụ trợ Dã Man Xung Chàng",	s29Desc="Cấu hình phụ trợ Dã Man Xung Chàng",
s30Name="Cung Thủ Tấn Công",	s30Desc="LV1: Tầm xa 10 ô, tấn công vật lý 100%",
s31Name="Kỹ năng toàn màn hình Vạn Thú Phổ",	s31Desc="Kỹ năng toàn màn hình Vạn Thú Phổ",
s32Name="Trùng Độc",	s32Desc="Trùng Độc",
s33Name="Vương Giả Kịch Độc",	s33Desc="Hỏa Long Vương kịch độc",
s34Name="Tà Hoàng triệu hồi tiểu quái",	s34Desc="Tà Hoàng triệu hồi tiểu quái",
s35Name="Trư Vệ thi triển Bán Nguyệt",	s35Desc="Trư Vệ thi triển Bán Nguyệt",
s36Name="Hỏa Long Vương tê liệt toàn màn hình",	s36Desc="Hỏa Long Vương tê liệt toàn màn hình",
s37Name="Tà Hoàng Thủ Vệ Hỏa Cầu",	s37Desc="Tà Hoàng Thủ Vệ Hỏa Cầu",
s38Name="Quái vật chết triệu hồi",	s38Desc="LV1: Mân Côi Yêu Tinh triệu hồi bản thân 2: Long Nữ sau khi chết triệu hồi bản thân",
s39Name="BOSS xuất hiện ngẫu nhiên truyền tống",	s39Desc="BOSS xuất hiện truyền tống ngẫu nhiên tại bản đồ hiện tại",
s40Name="Kim Giáp Thi Vương bạo hỏa",	s40Desc="Kim Giáp Thi Vương bạo hỏa",
s41Name="Ma Giới Giáo Chủ địa lôi",	s41Desc="Ma Giới Giáo Chủ địa lôi",
s42Name="Thần Thú tấn công hai mục tiêu",	s42Desc="Thần Thú tấn công hai mục tiêu",
s43Name="Quái vật chết hất tung",	s43Desc="Quái vật chết hất tung",
s44Name="Hỏa Phượng bạo hỏa",	s44Desc="Hỏa Phượng bạo hỏa",
s45Name="Minh Luân Vương Xà kỹ năng nào đó",	s45Desc="Minh Luân Vương Xà kỹ năng nào đó",
s46Name="Đào mỏ",	s46Desc="Kỹ năng đào mỏ",
s47Name="Tinh Anh Xà Yết phóng điện",	s47Desc="Tinh Anh Xà Yết Tật Quang Điện Ảnh",
s48Name="Nghĩ Hậu kỹ năng nào đó",	s48Desc="Nghĩ Hậu kỹ năng nào đó",
s49Name="Ngưu Ma Vương kỹ năng nào đó",	s49Desc="Ngưu Ma Vương kỹ năng nào đó",
s50Name="Phó bản bang hội BOSS Long Nộ",	s50Desc="Phó bản bang hội BOSS Long Nộ",
s51Name="Ma Pháp Thuẫn Quái Phó Bản Bang Hội",	s51Desc="Ma Pháp Thuẫn Quái Phó Bản Bang Hội",
s52Name="Nộ Khí Quái Phó Bản Bang Hội",	s52Desc="Nộ Khí Quái Phó Bản Bang Hội",
s53Name="Thế Giới Chi Thạch Tạc Đạn",	s53Desc="Kỹ năng chuyên dùng để nổ tung Thế Giới Chi Thạch",
s54Name="Quái Phó Bản Bang Hội Nộ Hống",	s54Desc="Chấn lùi kẻ thù phía trước 4 ô",
s55Name="Quái Phó Bản Bang Hội Độc Vụ",	s55Desc="Kẻ thù trong phạm vi 8 ô bị trúng độc liên tục mất máu",

s56Name="Tất Sát Kỹ Năng Chiến Sĩ",	s56Desc="    Cấp 48 có thể học, sách kỹ năng có thể mua tại Thương thành. Khi Nộ\\khí đầy, có thể nhấp vào chữ <(c0xFF00FF00)Nộ> bên cạnh bình máu hoặc sử dụng phím tắt <(c0xFF00FF00)D> để\\thi triển.\\    Tiêu diệt quái vật có cấp độ thấp hơn bản thân trong vòng 9 cấp hoặc cao hơn\\bản thân sẽ nhận được nộ khí, tiêu diệt boss nhận được nhiều nộ khí hơn",
s57Name="Tất Sát Kỹ Năng Pháp Sư",	s57Desc="    Cấp 48 có thể học, sách kỹ năng có thể mua tại Thương thành. Khi Nộ\\khí đầy, có thể nhấp vào chữ <(c0xFF00FF00)Nộ> bên cạnh bình máu hoặc sử dụng phím tắt <(c0xFF00FF00)D> để\\thi triển.\\    Tiêu diệt quái vật có cấp độ thấp hơn bản thân trong vòng 9 cấp hoặc cao hơn\\bản thân sẽ nhận được nộ khí, tiêu diệt boss nhận được nhiều nộ khí hơn",
s58Name="Tất Sát Kỹ Năng Đạo Sĩ",	s58Desc="    Cấp 48 có thể học, sách kỹ năng có thể mua tại Thương thành. Khi Nộ\\khí đầy, có thể nhấp vào chữ <(c0xFF00FF00)Nộ> bên cạnh bình máu hoặc sử dụng phím tắt <(c0xFF00FF00)D> để\\thi triển.\\    Tiêu diệt quái vật có cấp độ thấp hơn bản thân trong vòng 9 cấp hoặc cao hơn\\bản thân sẽ nhận được nộ khí, tiêu diệt boss nhận được nhiều nộ khí hơn",

s59Name="Nguyệt Luân Khảm",	s59Desc="Gây sát thương 50% cho tất cả người chơi trong phạm vi 3 ô, thời gian hồi chiêu 1 phút",
s60Name="Cấm Cố Tỏa Liễn",	s60Desc="Tất cả người chơi trong phạm vi 5 ô không thể di chuyển trong 5 giây. Thời gian hồi chiêu 1 phút.",
s61Name="Nộ Cuồng Thích",	s61Desc="Sát thương cố định 10000, thời gian hồi chiêu 1 phút;",
s62Name="Triệu Hồi Ngân Giác Đại Vương",	s62Desc="Lượng máu <= 5%, thông báo thế giới boss hô lên 1 lần: Không ngờ Kim Giáp Đại Vương ta rồng mắc cạn bị tôm giỡn! Kích hoạt kỹ năng triệu hồi, triệu hồi 1 Ngân Giác Đại Vương xuất hiện (Không triệu hồi thêm)",
s63Name="Ma Long Thần làm mới tinh anh",	s63Desc="Ma Long Thần làm mới tinh anh",
s64Name="Kỹ năng lúc làm mới tường thành",	s64Desc="Kỹ năng lúc làm mới tường thành",
s65Name="Kỹ năng lúc tường thành mất máu",	s65Desc="Kỹ năng lúc tường thành mất máu",
s66Name="Kỹ năng mở cửa Sabac",	s66Desc="Kỹ năng mở cửa",
s67Name="BOSS Phó Bản Kim Tệ gọi đợt sau",	s67Desc="BOSS Phó Bản Kim Tệ gọi đợt sau",
s68Name="Kỹ năng hoàn thành tiến độ 1",	s68Desc="1",
s69Name="Kỹ năng hoàn thành tiến độ 2",	s69Desc="1",
s70Name="Triệu hồi Đại Đao Cương Thi",	s70Desc="1",
s71Name="Kỹ năng trồng hoa",	s71Desc="1",
s72Name="Bón phân",	s72Desc="1",
s73Name="Chết làm mới quái thu thập",	s73Desc="1",
s74Name="Bá Giả Khí Thế",	s74Desc="Quái vật Kháng Cự cấp 1: 5X5, đẩy lùi 4 ô cấp 2: 9X9, đẩy lùi 4 ô",
s75Name="Triệu hồi Hủ Tâm Quái",	s75Desc="Triệu hồi Hủ Tâm Quái",
s76Name="Ác Niệm Phòng Độc",	s76Desc="Ác Niệm Phòng Độc",
s77Name="Tà Niệm Hỏa Cầu",	s77Desc="LV1: Tà Niệm Hỏa Cầu LV2: BOSS Leo Tháp tấn công tầm xa",
s78Name="Tà Niệm Hỏa Tường",	s78Desc="Tà Niệm Hỏa Tường",
s79Name="Cuồng Bạo thời gian ngắn",	s79Desc="Cuồng Bạo thời gian ngắn",
s80Name="Lính đánh thuê Thích Sát",	s80Desc="<(c0xFF00FF00)Cấp 30> Có thể học, tiêu hao kim tệ khóa để học trực tiếp.",
s81Name="Lính đánh thuê Bán Nguyệt",	s81Desc="<(c0xFF00FF00)Cấp 30> Có thể học, tiêu hao kim tệ khóa để học trực tiếp.",
s82Name="Lính đánh thuê Liệt Hỏa",	s82Desc="<(c0xFF00FF00)Cấp 35> Có thể học, tiêu hao kim tệ khóa để học trực tiếp.",
s83Name="Liệt Hỏa Oanh Sát",	s83Desc="<(c0xFF00FF00)Cấp 35> Có thể học, tiêu hao kim tệ khóa để học trực tiếp.",
s84Name="Lính đánh thuê Lôi Điện",	s84Desc="<(c0xFF00FF00)Cấp 30> Có thể học, tiêu hao kim tệ khóa để học trực tiếp.",
s85Name="Lính đánh thuê Băng Bào Hao",	s85Desc="<(c0xFF00FF00)Cấp 30> Có thể học, tiêu hao kim tệ khóa để học trực tiếp.",
s86Name="Lính đánh thuê Ma Pháp Thuẫn",	s86Desc="<(c0xFF00FF00)Cấp 35> Có thể học, tiêu hao kim tệ khóa để học trực tiếp.",
s87Name="Lôi Điện Oanh Sát",	s87Desc="<(c0xFF00FF00)Cấp 35> Có thể học, tiêu hao kim tệ khóa để học trực tiếp.",
s88Name="Lính đánh thuê Hỏa Phù",	s88Desc="<(c0xFF00FF00)Cấp 30> Có thể học, tiêu hao kim tệ khóa để học trực tiếp.",
s89Name="Lính đánh thuê Trị Dũ",	s89Desc="<(c0xFF00FF00)Cấp 30> Có thể học, tiêu hao kim tệ khóa để học trực tiếp.",
s90Name="Lính đánh thuê U Linh Chiến Giáp",	s90Desc="<(c0xFF00FF00)Cấp 35> Có thể học, tiêu hao kim tệ khóa để học trực tiếp.",
s91Name="Mãnh Độc Oanh Sát",	s91Desc="<(c0xFF00FF00)Cấp 35> Có thể học, tiêu hao kim tệ khóa để học trực tiếp.",
s92Name="Cường Kiện Thể Phách",	s92Desc="<(c0xFF00FF00)Cấp 30> Có thể học, tiêu hao kim tệ khóa để học trực tiếp.",
s93Name="Vô Địch Hí Pháp",	s93Desc="<(c0xFF00FF00)Cấp 30> Có thể học, tiêu hao kim tệ khóa để học trực tiếp.",
s94Name="Thiên Cương Chính Khí",	s94Desc="<(c0xFF00FF00)Cấp 30> Có thể học, tiêu hao kim tệ khóa để học trực tiếp.",
s95Name="Tiểu Quái Phó Bản Kim Tệ gọi đợt sau",	s95Desc="Tiểu Quái Phó Bản Kim Tệ gọi đợt sau",
s96Name="Độn Ảnh",	s96Desc="Kỹ năng Đua Ngựa",
s97Name="Phi Trì",	s97Desc="Kỹ năng Đua Ngựa",
s98Name="Lạc Mã Tiễn",	s98Desc="Kỹ năng Đua Ngựa",
s99Name="Tiêu Xa Giảm Tốc",	s99Desc="Tiêu Xa Giảm Tốc",
s100Name="Tiêu Xa đổi mô hình",	s100Desc="Tiêu Xa đổi mô hình",
s101Name="Định Thân",	s101Desc="Định kỳ thi triển kỹ năng định thân lên 1 người chơi trong phạm vi nhất định xung quanh, thời gian định thân 5 giây",
s102Name="Giảm Tốc",	s102Desc="Định kỳ thi triển kỹ năng giảm tốc lên tất cả người chơi trong phạm vi nhất định xung quanh, giảm 200 tốc độ, kéo dài 10 giây",
s103Name="Gia Tốc",	s103Desc="Định kỳ thi triển Lôi Điện Thuật lên người chơi trong phạm vi nhất định xung quanh, người chơi bị trúng sẽ giảm 50% máu",
s104Name="May Mắn Chúc Phúc",	s104Desc="Tăng 100 tốc độ di chuyển cho người chơi, kéo dài 10 giây",
s105Name="May Mắn Chúc Phúc",	s105Desc="Tăng 300 tốc độ di chuyển cho người chơi, kéo dài 5 giây",
s106Name="May Mắn Chúc Phúc",	s106Desc="Tăng 50 tốc độ di chuyển cho người chơi, kéo dài 20 giây",
s107Name="Hỏa Kiến Mã Trường",	s107Desc="Tốc độ di chuyển cực nhanh, chạy loạn khắp nơi. Khiến 1 người chơi trong phạm vi xung quanh bị lùi lại 10 tọa độ, đồng thời mất máu liên tục trong 20 giây tiếp theo. Toàn thân chuyển đỏ.",
s108Name="Thiên Ma Cực Quang",	s108Desc="Tương tự như Địa Ngục Lôi Quang của Pháp sư",
s109Name="Địa Thích",	s109Desc="Dùng cho: Thần Đăng Thần Ma",
s110Name="Thủy Vực Lục Độc",	s110Desc="Hiệu ứng giống Lục Độc của Đạo sĩ",
s111Name="Thủy Vực Hồng Độc",	s111Desc="Hiệu ứng giống Hồng Độc của Đạo sĩ.",
s112Name="Thủy Vực Cực Quang",	s112Desc="Hiệu ứng giống “Tật Quang Điện Ảnh” của Pháp sư.",
s113Name="Thủy Vực Long Vương Váy Qua",	s113Desc="Hiệu ứng giống “Băng Bào Hao” của Pháp sư.",
s114Name="Thủy Vực Bán Nguyệt Loan Đao",	s114Desc="Hiệu ứng giống “Bán Nguyệt Loan Đao” của Chiến sĩ",
s115Name="Làm mới “Thủy Vực Long Vương Hồn Phách”",	s115Desc="Kích hoạt kịch bản tử vong: Sau khi chết có xác suất 1/2 xuất hiện “Thủy Vực Long Vương Hồn Phách”.",
s116Name="Kim Cương Bán Nguyệt",	s116Desc="Mỗi lần tấn công đều xuất hiện hiệu ứng này, tương tự kỹ năng “Bán Nguyệt Loan Đao” của Chiến sĩ.",
s117Name="Kim Cương Liệt Hỏa",	s117Desc="Trung bình cứ 10 giây thi triển kỹ năng này 1 lần, tương tự kỹ năng “Liệt Hỏa Kiếm Pháp” của Chiến sĩ.",
s118Name="Kim Cương Lôi Điện",	s118Desc="Mỗi lần tấn công đều xuất hiện hiệu ứng này, tương tự kỹ năng “Lôi Điện Thuật” của Pháp sư.",
s119Name="Kim Cương Hỏa Diễm",	s119Desc="Trung bình cứ 10 giây thi triển kỹ năng này 1 lần, tương tự kỹ năng “Hỏa Tường” của Pháp sư.",
s120Name="Kim Cương Hỏa Phù",	s120Desc="Mỗi lần tấn công đều xuất hiện hiệu ứng này, tương tự kỹ năng “Linh Hồn Hỏa Phù” của Đạo sĩ.",
s121Name="Kim Cương Hồng Độc",	s121Desc="Trung bình cứ 10 giây thi triển kỹ năng này 1 lần, tương tự Hồng Độc của Đạo sĩ.",
s122Name="Địa Ngục Âm Phong",	s122Desc="Giống “Băng Bào Hao” của Pháp sư, thi triển 10 giây 1 lần.",
s123Name="Trấn Tháp Lôi Quang",	s123Desc="Tương tự “Xuyên Thấu Thiểm Điện” của Pháp sư. Tiêu diệt quái vật gần đó.",
s124Name="Kỹ năng hoàn thành tiến độ 3",	s124Desc="3",
s125Name="Kỹ năng hoàn thành tiến độ 4",	s125Desc="4",
s126Name="Kỹ năng hoàn thành tiến độ 5",	s126Desc="5",
s127Name="Kỹ năng hoàn thành tiến độ 6",	s127Desc="5",
s128Name="Kỹ năng Chiến Sĩ leo tháp diệt gọn",	s128Desc="Kỹ năng Chiến Sĩ leo tháp diệt gọn",
s129Name="Kỹ năng Pháp Sư leo tháp diệt gọn",	s129Desc="Kỹ năng Pháp Sư leo tháp diệt gọn",
s130Name="Kỹ năng Đạo Sĩ leo tháp diệt gọn",	s130Desc="Kỹ năng Đạo Sĩ leo tháp diệt gọn",
s131Name="Cấm Cố Thiên Lôi",	s131Desc="Tất cả người chơi trong phạm vi 10 ô không thể di chuyển trong 3 giây. Thời gian hồi chiêu 30 giây.",
s132Name="Phó bản chuyển sinh làm mới quái làm mới đèn",	s132Desc="Phó bản chuyển sinh làm mới quái làm mới đèn đường",
s133Name="Tử Uyển Tấn Công",	s133Desc="Cự ly thi triển 3, gây sát thương 5X5 lấy mục tiêu làm trung tâm",
s134Name="Thích Sát Trường Kích",	s134Desc="Tấn công mục tiêu phía trước vài ô, dùng hiệu ứng hỏa cầu bùng nổ, kèm theo hiệu ứng giảm tốc",
s135Name="Trò đùa của Thần",	s135Desc="Kỹ năng khiêu khích quái vật cự ly xa, dùng khi một quái vật nào đó cần được ưu tiên tấn công",
s136Name="Lời nguyền của Thần",	s136Desc="Sau khi chết thi triển kỹ năng đá khỏi phó bản",
s137Name="Lính đánh thuê May Mắn",	s137Desc="<(c0xFF00FF00)Cấp 30> Có thể học, tiêu hao KNB để học trực tiếp.",
s138Name="Xích Nguyệt Ma Quang",	s138Desc="Mỗi lần bị đạp chết sẽ thêm BUFF nhân đôi kinh nghiệm trong 10 phút cho người giẫm. BUFF cộng dồn với BUFF kinh nghiệm khác, rời phó bản BUFF phó bản biến mất. Quái vật sống lại sau 1 phút kể từ khi chết",
s139Name="Địa Ngục Trấn Quỷ Thạch",	s139Desc="Mỗi lần bị đạp chết sẽ thêm BUFF nhân ba kinh nghiệm trong 5 phút cho người giẫm. BUFF cộng dồn với BUFF kinh nghiệm khác, rời phó bản BUFF phó bản biến mất. Quái vật sống lại sau 1 phút kể từ khi chết",
s140Name="Sức mạnh cường giả",	s140Desc="Tổng hợp kỹ năng theo giai đoạn của đại boss",
s141Name="Lính đánh thuê Phục Tích",	s141Desc="<(c0xFF00FF00)Cấp 30> Có thể học, tiêu hao KNB để học trực tiếp.",
s142Name="BOSS bản đồ gọi trộm sau khi chết",	s142Desc="BOSS bản đồ gọi tên trộm sau khi chết",
s143Name="Độc Vụ",	s143Desc="Độc vụ của Tướng Quân Công Thành",
s144Name="Máu Thần Thú",	s144Desc="Bạn đã đắm chìm trong Máu Thần Thú, công thủ đều tăng 10%",
s145Name="Thích Huyết",	s145Desc="Boss Vinh Dự hút máu",
s146Name="Sương Đống Hào Khiếu",	s146Desc="Kỹ năng sát thương diện rộng và giảm tốc của Băng Kỳ Lân",
s147Name="Quần Thể Băng Phong",	s147Desc="Kỹ năng đóng băng quần thể của Băng Kỳ Lân",
s148Name="Băng Nha Thuật",	s148Desc="Tấn công tỷ lệ phần trăm quần thể + độc",
s149Name="Bản đồ hiện tại truyền tống ngẫu nhiên",	s149Desc="Bản đồ hiện tại truyền tống ngẫu nhiên",
s150Name="Thiên Thần Chi Nộ",	s150Desc="Tập hợp kỹ năng boss Thiên Cung",
s151Name="Thiên Thần Chi Uy",	s151Desc="Tập hợp kỹ năng thường boss Thiên Cung",
s152Name="Thiên Thần Chi Nộ",	s152Desc="Tập hợp kỹ năng tất sát boss Thiên Cung 2",
s153Name="Kỳ Lân Thần Lôi",	s153Desc="Boss Liên Server Thần Lôi",
s154Name="Minh Giới Thủ Hộ",	s154Desc="Boss Liên Server vô địch",
s155Name="Kỹ năng Boss Giáng Sinh",	s155Desc="Kỹ năng Boss Giáng Sinh",
s156Name="Kỹ năng Boss Giáng Sinh 2",	s156Desc="Kỹ năng Boss Giáng Sinh 2",
s157Name="U Minh Độc Bạo",	s157Desc="Boss Liên Server Độc Bạo Đản",
s158Name="U Minh Độc Nha",	s158Desc="Độc Bạo Tri Chu Độc Nha",
s159Name="Chấn Phấn Nhân Tâm",	s159Desc="<(c0xFF00FFFF)Sau khi chuyển sinh có thể học, sách kỹ năng có thể mua qua Thương thành.>",
s160Name="Hàn Phách Chưởng",	s160Desc="<(c0xFF00FFFF)Sau khi chuyển sinh có thể học, sách kỹ năng có thể mua qua Thương thành.>",
s161Name="Hấp Năng Thuật",	s161Desc="<(c0xFF00FFFF)Sau khi chuyển sinh có thể học, sách kỹ năng có thể mua qua Thương thành.>",
s162Name="Kỹ năng kích hoạt phó bản đội",	s162Desc="Kỹ năng bị quái vật khác kích hoạt trong phó bản đội",
s163Name="Triệu hồi phân thân",	s163Desc="Chu Cương Liệp và Tôn Ngộ Không triệu hồi phân thân",
s164Name="Tàn huyết biến thân",	s164Desc="Chu Cương Liệp và Tôn Ngộ Không tàn huyết biến thân",
s165Name="Phân thân trị liệu",	s165Desc="Phân thân trị liệu hoặc Độc Boss",
s166Name="Tập hợp kỹ năng Boss phó bản đội 1",	s166Desc="Tổng hợp kỹ năng Boss đội 1",
s167Name="Tập hợp kỹ năng Boss phó bản đội 2",	s167Desc="Tổng hợp kỹ năng Boss đội 2",
s168Name="Kỹ năng sau khi Boss phó bản đội biến thân",	s168Desc="Kỹ năng sau khi Boss phó bản đội biến thân",
s169Name="Kỹ năng Liệp Ma Nhân",	s169Desc="Kỹ năng Liệp Ma Nhân đội",
s170Name="Vạn Thú Thủ Hộ(Thú Hồn)",	s170Desc="Phẩm chất Thú Hồn đạt <(c0xFF00FFFF)Ưu Lương 100%> tự động kích hoạt.",
s171Name="Thích Huyết Bản Năng(Thú Hồn)",	s171Desc="Phẩm chất Thú Hồn đạt <(c0xFF00FFFF)Trác Việt 100%> tự động kích hoạt.",
s172Name="Thú Vương Chi Khu(Thú Hồn)",	s172Desc="Phẩm chất Thú Hồn đạt <(c0xFF00FFFF)Hi Hữu 100%> có thể kích hoạt.",
s173Name="Kỹ năng Thú Hồn",	s173Desc="Kỹ năng Thú Hồn",
s174Name="Kỹ năng Thú Hồn",	s174Desc="Kỹ năng Thú Hồn",
s175Name="Kỹ năng Thú Hồn",	s175Desc="Kỹ năng Thú Hồn",
s176Name="Độn Ảnh",		s176Desc="Kỹ năng Đua Ngựa",
s177Name="Phi Trì",		s177Desc="Kỹ năng Đua Ngựa",
s178Name="Kỹ năng Đua Ngựa 1",	s178Desc="Kỹ năng Đua Ngựa",
s179Name="Kỹ năng Đua Ngựa 2",	s179Desc="Kỹ năng Đua Ngựa",
s180Name="Kỹ năng Đua Ngựa 3",	s180Desc="Kỹ năng Đua Ngựa",
s181Name="Kỹ năng Đua Ngựa 4",	s181Desc="Kỹ năng Đua Ngựa",
s182Name="Kỹ năng Đua Ngựa 5",	s182Desc="Kỹ năng Đua Ngựa",
s183Name="Gia Tốc",	s183Desc="Chỉ tăng tốc cho bản thân, trong 10 giây tốc độ di chuyển tăng 30%; Thời gian hồi chiêu là 10 giây",
s184Name="Cướp Đoạt",	s184Desc="Tiến hành cướp người chơi khác bằng luật oẳn tù tì, thắng sẽ nhận được phần thưởng kinh nghiệm",
